season,model,n,acc,logloss,brier
2010,market_plus_model,578,0.7664359861591695,0.4871277988826068,0.16245032607603632
2011,elo,680,0.7323529411764705,0.5315152923935282,0.17934588856673403
2011,pr_win,680,0.7073529411764706,0.5463290110125767,0.18617125857697367
2011,pr_margin,680,0.7132352941176471,0.5506546617128514,0.18766444881427538
2011,pr_points,680,0.7176470588235294,0.5526050308612787,0.18654950622331223
2011,pr_points_against,680,0.7176470588235294,0.5518534707283038,0.18633815613592145
2011,pr_points_keep,680,0.7176470588235294,0.5385119839733382,0.18215687597796476
2011,bradley_terry,680,0.6970588235294117,0.5727791319873858,0.19512887621691782
2011,blade_chest,680,0.6897058823529412,0.5910130884248668,0.2027709516614745
2011,gbm,680,0.7132352941176471,0.5325192832858011,0.17929149060849386
2011,mlp,680,0.7205882352941176,0.551012767485566,0.18594027563518573
2011,ensemble,680,0.7264705882352941,0.5237481760870621,0.17626759488578161
2011,cfbd_elo,680,0.7338235294117647,0.5362037691008978,0.1784427765434996
2011,market,635,0.7511811023622047,0.4868363094238733,0.16282591261811324
2011,market_plus_model,635,0.7511811023622047,0.48849231599676735,0.16353499130821406
2012,elo,697,0.7474892395982783,0.5082217799796562,0.16940939611840922
2012,pr_win,697,0.7187948350071736,0.5717997697311353,0.19188476389846063
2012,pr_margin,697,0.7073170731707317,0.5599216501723716,0.18794303336910514
2012,pr_points,697,0.6929698708751794,0.5837141622051223,0.1976140436202268
2012,pr_points_against,697,0.6929698708751794,0.5819363773154062,0.1969780561499923
2012,pr_points_keep,697,0.7202295552367288,0.5538152527379193,0.1859180282318816
2012,bradley_terry,697,0.667144906743185,0.5816500075933235,0.19977285633000588
2012,blade_chest,697,0.6585365853658537,0.6095678852047268,0.21225276417423727
2012,gbm,697,0.7503586800573888,0.5082449501261144,0.16905805908410632
2012,mlp,697,0.7604017216642754,0.5088385588094774,0.1672602898578559
2012,ensemble,697,0.7474892395982783,0.5060446164532238,0.16825597726423625
2012,cfbd_elo,697,0.727403156384505,0.5087393091315927,0.1723458649221997
2012,market,649,0.765793528505393,0.4735904816493558,0.15656710831870277
2012,market_plus_model,649,0.7673343605546995,0.47282711954353335,0.15641034725098754
2013,elo,702,0.7735042735042735,0.473961046134673,0.15684370593959876
2013,pr_win,702,0.717948717948718,0.5375745905454627,0.18255446040519788
2013,pr_margin,702,0.7321937321937322,0.5364177426186982,0.1805600224360758
2013,pr_points,702,0.717948717948718,0.5592716217921201,0.1889196005683382
2013,pr_points_against,702,0.7165242165242165,0.5567710816147872,0.18797231648347607
2013,pr_points_keep,702,0.7478632478632479,0.5176566330709389,0.17285936965057222
2013,bradley_terry,702,0.688034188034188,0.5633525025306316,0.19133000002804554
2013,blade_chest,702,0.6951566951566952,0.5671331313516147,0.1928653281195759
2013,gbm,702,0.7663817663817664,0.4680746029906759,0.15534296351282395
2013,mlp,702,0.7720797720797721,0.46848086661572097,0.15481504513042024
2013,ensemble,702,0.7706552706552706,0.4693417349063567,0.15507363486352183
2013,cfbd_elo,702,0.7692307692307693,0.47855700328002465,0.15899058777687206
2013,market,654,0.7920489296636085,0.4291596038059372,0.141416816829112
2013,market_plus_model,654,0.7920489296636085,0.42807611147371977,0.1413405218486405
2014,elo,721,0.7073509015256588,0.5494636127934439,0.1870477615717346
2014,pr_win,721,0.694868238557559,0.5961878869689795,0.19846824446758052
2014,pr_margin,721,0.6962552011095701,0.577899652114648,0.19297775683672555
2014,pr_points,721,0.6934812760055479,0.5766575859547219,0.19644126046533064
2014,pr_points_against,721,0.6934812760055479,0.5751758234716619,0.19586407258489472
2014,pr_points_keep,721,0.7364771151178918,0.5350120484619405,0.18005751914525808
2014,bradley_terry,721,0.7087378640776699,0.5817001121071036,0.19882762880361018
2014,blade_chest,721,0.6782246879334258,0.6079293596006117,0.20988040688811213
2014,gbm,721,0.7226074895977809,0.5387241422588397,0.1823102003137193
2014,mlp,721,0.723994452149792,0.5380883598753422,0.18078244795247353
2014,ensemble,721,0.7350901525658807,0.5252016276850451,0.17695580943420708
2014,cfbd_elo,721,0.7309292649098474,0.523957508705541,0.1770132636271126
2014,market,674,0.7507418397626113,0.48720509184356015,0.16297040985570083
