week,model,n,acc,logloss,brier
7,ensemble,344,0.6918604651162791,0.5840524660085294,0.1981883991236889
7,stack_T2,265,0.690566037735849,0.5891433603929644,0.1996657894842048
7,stack_T4,265,0.6754716981132075,0.5798532477203445,0.1970431942823738
7,stack_T4_weekly,265,0.6566037735849056,0.5799814738171045,0.1977130322491969
7,stack_T5,214,0.7102803738317757,0.5648991701310826,0.1928480914864492
7,elo,344,0.6976744186046512,0.5895243110913813,0.1997901138585844
7,elo_rp,344,0.6976744186046512,0.591112466442756,0.2003120906401819
8,market,378,0.6904761904761905,0.5706617817685301,0.1935360585248942
8,ensemble,382,0.6884816753926701,0.5839264021483749,0.1994540052475727
8,stack_T2,277,0.6859205776173285,0.5949892102635541,0.2038506564498486
8,stack_T4,277,0.6823104693140795,0.5865823259094903,0.1994371217431085
8,stack_T4_weekly,277,0.6714801444043321,0.5867784285959531,0.1992721016593966
8,stack_T5,224,0.6830357142857143,0.5798009389452803,0.2001799696370458
8,elo,382,0.6727748691099477,0.5990490726844315,0.2059473933897034
8,elo_rp,382,0.680628272251309,0.5953182446838723,0.2044243065517396
9,market,358,0.7430167597765364,0.5220760760995815,0.1743903607521464
9,ensemble,361,0.7146814404432132,0.5575404835224974,0.1892466061681504
9,stack_T2,263,0.7338403041825095,0.5314151978352045,0.1779229072471417
9,stack_T4,263,0.7452471482889734,0.5298345293720955,0.1768433337140077
9,stack_T4_weekly,263,0.7566539923954373,0.5306101999280695,0.1769701270293825
9,stack_T5,209,0.7511961722488039,0.5061356477071751,0.1680383081471853
9,elo,361,0.703601108033241,0.5746623567043218,0.1961498702372776
9,elo_rp,361,0.7146814404432132,0.5754528249729876,0.1964755636710222
10,market,373,0.6943699731903485,0.552574518895781,0.1882468189559663
10,ensemble,376,0.675531914893617,0.5675432442359719,0.1947626217642304
10,stack_T2,281,0.6654804270462633,0.6022463515158543,0.2098286912705888
10,stack_T4,281,0.6619217081850534,0.6024935756151412,0.2095390882487408
10,stack_T4_weekly,281,0.6690391459074733,0.6070584562740847,0.2112157103189864
10,stack_T5,222,0.6441441441441441,0.6137518811880188,0.2146321899632023
10,elo,376,0.6728723404255319,0.5838913906600296,0.2017644061011705
10,elo_rp,376,0.6781914893617021,0.5825439885695569,0.2011524475429464
11,market,378,0.7142857142857143,0.5318007293196554,0.1786937780348704
11,ensemble,381,0.7191601049868767,0.546563156815908,0.1833750375500724
11,stack_T2,289,0.7162629757785467,0.5518100451312533,0.1846328128999863
11,stack_T4,289,0.740484429065744,0.5390703485825901,0.1810304438522394
11,stack_T4_weekly,289,0.7439446366782007,0.5422549787247949,0.1815257833350933
11,stack_T5,229,0.74235807860262,0.5433733356421919,0.1827613333222432
11,elo,381,0.7139107611548556,0.5512097391048937,0.1866088117181777
11,elo_rp,381,0.7191601049868767,0.5527851372334084,0.1869653341900698
12,market,387,0.7829457364341085,0.4811570266585384,0.1574936989221693
12,ensemble,390,0.7487179487179487,0.4998400271481713,0.164518510871454
12,stack_T2,298,0.7583892617449665,0.4940990126042841,0.1626857690802037
12,stack_T4,298,0.7718120805369127,0.493612179904768,0.1629027964783041
12,stack_T4_weekly,298,0.761744966442953,0.4944821464283124,0.1630763389043363
12,stack_T5,236,0.7627118644067796,0.5206976470651397,0.1730992727626425
12,elo,390,0.7564102564102564,0.5005995351215028,0.1652190001137358
12,elo_rp,390,0.7512820512820513,0.4999301414614521,0.1651208252735345
13,market,412,0.7378640776699029,0.5046724828381187,0.1692760246283537
13,ensemble,417,0.7194244604316546,0.5124557134397937,0.171429299567155
13,stack_T2,315,0.726984126984127,0.5189847607706943,0.1741612386612122
13,stack_T4,315,0.746031746031746,0.5203403063260215,0.1741358516127553
13,stack_T4_weekly,315,0.7492063492063492,0.5177354312895204,0.1734847821965933
13,stack_T5,244,0.7213114754098361,0.523690118276284,0.1752565881448134
13,elo,417,0.7410071942446043,0.5135437490109653,0.1717296264575487
13,elo_rp,417,0.7362110311750599,0.5129947043139857,0.1715212729149619
14,market,272,0.7058823529411765,0.5380268717856578,0.1821571777693541
14,ensemble,275,0.7054545454545454,0.537114344965327,0.1818058560612922
14,stack_T2,166,0.6867469879518072,0.5419462101449259,0.1838624149465713
14,stack_T4,166,0.6867469879518072,0.5422087463122245,0.1844808342292286
14,stack_T4_weekly,166,0.6927710843373494,0.5372527271433567,0.1826680294655161
14,stack_T5,155,0.7483870967741936,0.5285350541898802,0.1776512202447102
14,elo,275,0.6945454545454546,0.5389049432211575,0.1814447906383294
14,elo_rp,275,0.6981818181818182,0.5401429264820535,0.1819574047364094
15,market,68,0.6617647058823529,0.5776932821442495,0.1961277092656782
15,ensemble,69,0.6811594202898551,0.5804769150851439,0.1977094721475706
15,stack_T2,21,0.5238095238095238,0.7181666371848678,0.2592522345836388
15,stack_T4,21,0.5238095238095238,0.692493660059686,0.2468641045537105
15,stack_T4_weekly,21,0.5238095238095238,0.7048685349532366,0.2502890012838993
15,stack_T5,20,0.55,0.6540796874302026,0.2350306849529679
15,elo,69,0.7391304347826086,0.581072638573301,0.1969889407585712
15,elo_rp,69,0.7391304347826086,0.5778447104805523,0.195490253429706
1,stack_final,139,0.7553956834532374,0.5260429572769825,0.17268538947452944
1,stack_final_wk,139,0.7482014388489209,0.529852903951961,0.17316974425900467
1,stack_final_ol,87,0.7471264367816092,0.4679174643926378,0.15759609662138924
1,gbm_T4_margin,247,0.7206477732793523,0.524486642737948,0.1772158633697203
2,stack_final,146,0.7328767123287672,0.505627302730658,0.16990655607638128
2,stack_final_wk,146,0.726027397260274,0.5143820577872628,0.17441452959560297
2,stack_final_ol,99,0.7070707070707071,0.48800264449948566,0.16509478774115613
2,gbm_T4_margin,252,0.7579365079365079,0.5053013513351485,0.16818635414839753
3,stack_final,153,0.7647058823529411,0.45338227516782,0.14900955489826717
3,stack_final_wk,153,0.7450980392156863,0.46021536303780036,0.15241329363404463
3,stack_final_ol,99,0.797979797979798,0.4294649376107987,0.14351943779136597
3,gbm_T4_margin,270,0.7518518518518519,0.5072380227047698,0.16900368447936126
4,stack_final,167,0.7305389221556886,0.5255605668712773,0.17715346764948603
4,stack_final_wk,167,0.7365269461077845,0.5406484443425643,0.18231109698199194
4,stack_final_ol,104,0.6923076923076923,0.5698529673445109,0.19975097539850578
4,gbm_T4_margin,312,0.7339743589743589,0.5406073017549841,0.18001805623043968
5,stack_final,159,0.7421383647798742,0.5164236831324314,0.17222895985573494
5,stack_final_wk,159,0.7358490566037735,0.530135934986693,0.17758824707059334
5,stack_final_ol,103,0.7864077669902912,0.5114837325288248,0.16995146820138757
5,gbm_T4_margin,305,0.6885245901639344,0.5770350752292838,0.19728127341176097
6,stack_final,148,0.7162162162162162,0.5773048544599962,0.1963052689528968
6,stack_final_wk,148,0.7094594594594594,0.5724477618581132,0.19501013534770867
6,stack_final_ol,99,0.7474747474747475,0.5514619554091371,0.18193746333726388
6,gbm_T4_margin,283,0.696113074204947,0.5776430307549035,0.19713538884813234
7,stack_final,163,0.6687116564417178,0.5812348113442151,0.20034248067969987
7,stack_final_wk,163,0.6503067484662577,0.5868985811479003,0.20182238050117043
7,stack_final_ol,108,0.7407407407407407,0.552566651098727,0.18613012864630082
7,gbm_T4_margin,292,0.678082191780822,0.5795114311922717,0.19819529206815195
8,stack_final,172,0.6744186046511628,0.5778956845675886,0.19861233504624504
8,stack_final_wk,172,0.6395348837209303,0.5867448345497104,0.20217235207832052
8,stack_final_ol,118,0.6694915254237288,0.5763498934719257,0.19900095970708195
8,gbm_T4_margin,321,0.6822429906542056,0.5791062245260021,0.19751065884201274
9,stack_final,163,0.754601226993865,0.5190037715602661,0.17173272422540736
9,stack_final_wk,163,0.7730061349693251,0.5191112813516847,0.17156376443721189
9,stack_final_ol,109,0.7889908256880734,0.4864886884199442,0.15632809671919592
9,gbm_T4_margin,306,0.7352941176470589,0.5344687310612491,0.17894606255505435
10,stack_final,162,0.6728395061728395,0.6293879566087202,0.2203684552602713
10,stack_final_wk,162,0.6419753086419753,0.638291839390316,0.22357475275539684
10,stack_final_ol,100,0.63,0.6330966246504791,0.22306006478119497
10,gbm_T4_margin,329,0.6717325227963525,0.5938244073338373,0.20519919760849875
11,stack_final,165,0.7393939393939394,0.5324402164146409,0.17933450454776667
11,stack_final_wk,165,0.7393939393939394,0.5345197321500813,0.1799869344928547
