w_min,s_max,e_min,market,tr_n,tr_roi,te_n,te_roi,te_win,te_profit,te_t
5,99,0.0,ATS,1242,-0.10540184453227935,1314,-0.05271897052718973,0.4961948249619482,-6927.272727272731,-2.0013140627469217
5,99,0.03,ML,888,-0.07156449819788435,931,-0.04619773679113622,0.5918367346938775,-4301.009295254782,-1.62486617576205
5,99,0.03,ATS,891,-0.10651974288337927,917,-0.06315058986814714,0.49073064340239914,-5790.909090909094,-2.002641341455498
5,99,0.05,ML,711,-0.08420238664496385,718,-0.030848799178927428,0.5738161559888579,-2214.9437810469894,-0.9057399762112988
5,99,0.05,ATS,711,-0.12734944380514002,703,-0.04409672830725465,0.5007112375533428,-3100.000000000002,-1.2239924821549697
5,99,0.08,ML,498,-0.06729280709182388,491,-0.04299301548994876,0.5295315682281059,-2110.957060556484,-0.9692320550582586
5,99,0.08,ATS,492,-0.11141906873614195,482,-0.07317993210109398,0.4854771784232365,-3527.2727272727298,-1.6820976339190814
8,3,0.0,ML,300,-0.09013740121276836,299,-0.0651401187118781,0.5016722408026756,-1947.6895494851549,-1.1861064547595253
8,3,0.0,ATS,304,-0.12081339712918664,299,-0.08695652173913046,0.4782608695652174,-2600.000000000001,-1.5740718509610379
8,3,0.03,ML,260,-0.03875223167254726,247,-0.04333282928006068,0.5101214574898786,-1070.3208832174987,-0.7117088501457138
8,3,0.03,ATS,263,-0.09263740062219153,246,-0.0609756097560976,0.491869918699187,-1500.000000000001,-1.0000000000000004
8,3,0.05,ML,233,-0.05857831512692391,209,-0.033814400800663266,0.5119617224880383,-706.7209767338622,-0.5068553705988276
8,3,0.05,ATS,235,-0.1145067698259188,206,-0.07325684024713154,0.4854368932038835,-1509.0909090909097,-1.0992913007783567
8,3,0.08,ML,176,0.04661324915327429,149,-0.08759723433549901,0.47651006711409394,-1305.1987915989353,-1.0933993491071152
8,3,0.08,ATS,174,-0.012539184952978084,149,-0.1543624161073826,0.4429530201342282,-2300.000000000001,-1.9802547795617058
8,7,0.0,ML,569,-0.05006653527067124,582,-0.05087424260894148,0.5481099656357389,-2960.880919840394,-1.3603325677921985
8,7,0.0,ATS,573,-0.04712041884816759,578,-0.075180874488833,0.4844290657439446,-4345.454545454547,-1.8928201942826022
8,7,0.03,ML,469,-0.0335592375562029,473,-0.04230979632827895,0.5433403805496829,-2001.2533663275942,-0.9980904539886299
8,7,0.03,ATS,473,-0.043436478954449416,468,-0.07400932400932404,0.48504273504273504,-3463.6363636363653,-1.6762649775918976
8,7,0.05,ML,400,-0.048533213146145684,397,-0.028529019597253465,0.5440806045340051,-1132.6020780109625,-0.6063206571751233
8,7,0.05,ATS,402,-0.06919945725915878,390,-0.07482517482517487,0.4846153846153846,-2918.18181818182,-1.5467908969625401
8,7,0.08,ML,300,0.01757620286690135,290,-0.05558759081146415,0.5137931034482759,-1612.0401335324605,-0.9742440863655775
8,7,0.08,ATS,297,-0.01652892561983474,287,-0.11529933481152996,0.4634146341463415,-3309.09090909091,-2.0482309512934567
8,99,0.0,ML,847,-0.039017215101902473,953,-0.02346786337934192,0.6589716684155299,-2236.487380051285,-0.9223393269999304
8,99,0.0,ATS,854,-0.04992548435171389,945,-0.03838383838383843,0.5037037037037037,-3627.2727272727316,-1.2355197736609207
8,99,0.03,ML,607,-0.03550643777487483,660,-0.019511015151074444,0.6151515151515151,-1287.7269999709133,-0.5837510293985687
8,99,0.03,ATS,612,-0.0579322638146168,652,-0.03667038482989407,0.504601226993865,-2390.9090909090933,-0.9802294310167231
8,99,0.05,ML,490,-0.05126384033898246,502,-0.005005762788787114,0.5936254980079682,-251.28929199711314,-0.12336503799015854
8,99,0.05,ATS,492,-0.09977827050997787,492,-0.02605321507760536,0.5101626016260162,-1281.8181818181838,-0.6049161535318549
8,99,0.08,ML,338,0.006375305537277548,337,-0.020809314920601542,0.5459940652818991,-701.273912824272,-0.3880743107609755
8,99,0.08,ATS,333,-0.04832104832104835,333,-0.06552006552006555,0.4894894894894895,-2181.818181818183,-1.2509579917044025
10,3,0.0,ML,213,-0.1279514948502591,215,-0.061693070878482525,0.5069767441860465,-1326.4010238873743,-0.9594188241098713
10,3,0.0,ATS,215,-0.1564482029598309,215,-0.10317124735729388,0.4697674418604651,-2218.1818181818185,-1.5840332945577285
10,3,0.03,ML,185,-0.08131952298493487,176,-0.008002659452816623,0.5340909090909091,-140.84680636957256,-0.11218606602220484
10,3,0.03,ATS,186,-0.13782991202346043,175,-0.05090909090909094,0.49714285714285716,-890.9090909090914,-0.7035264706814488
10,3,0.05,ML,160,-0.12885799338702458,147,0.003999569012786524,0.5374149659863946,58.793664487961905,0.05086710310766264
10,3,0.05,ATS,160,-0.18863636363636369,145,-0.052037617554858966,0.496551724137931,-754.545454545455,-0.6542027500380626
10,3,0.08,ML,118,-0.03140039287995238,103,-0.04361387185322867,0.5048543689320388,-449.22288008825524,-0.45643159348557116
10,3,0.08,ATS,115,-0.10355731225296447,102,-0.12032085561497326,0.46078431372549017,-1227.2727272727273,-1.2707054334435164
10,7,0.0,ML,412,-0.04519708758545051,420,-0.03550557587242516,0.5642857142857143,-1491.2341866418565,-0.8209952688117802
10,7,0.0,ATS,414,-0.022397891963109394,416,-0.09593531468531473,0.4735576923076923,-3990.909090909093,-2.0502843814543015
10,7,0.03,ML,342,-0.029838286268858732,340,-0.019094113176316947,0.5647058823529412,-649.1998479947762,-0.3895287643413117
10,7,0.03,ATS,343,-0.03153988868274586,335,-0.08819538670284943,0.47761194029850745,-2954.545454545456,-1.690278564667458
10,7,0.05,ML,283,-0.06165427593441951,283,-0.0018778913545298792,0.568904593639576,-53.14432533319558,-0.0344716064698119
10,7,0.05,ATS,283,-0.07581111468037266,277,-0.08336068263866099,0.48014440433212996,-2309.0909090909095,-1.4519842195351573
10,7,0.08,ML,205,0.01393748875819762,204,-0.03611090461536588,0.5343137254901961,-736.6624541534641,-0.5417257753013646
10,7,0.08,ATS,201,-0.021709633649932187,200,-0.12181818181818185,0.46,-2436.363636363637,-1.8060769337498743
10,99,0.0,ML,610,-0.030753070134509532,704,-0.01435627061611528,0.6775568181818182,-1010.6814513745156,-0.5053973825589789
10,99,0.0,ATS,613,-0.02832567106629099,697,-0.03312899439154822,0.5064562410329986,-2309.090909090911,-0.9156984260755228
10,99,0.03,ML,433,-0.023313549916834344,477,-0.007302325820554247,0.6352201257861635,-348.3209416404376,-0.1931595998861099
10,99,0.03,ATS,434,-0.02346041055718481,470,-0.029206963249516486,0.5085106382978724,-1372.7272727272748,-0.6627338197533966
10,99,0.05,ML,343,-0.05005582112648251,356,0.009112453513444122,0.6151685393258427,324.40334507861076,0.19689809841697242
10,99,0.05,ATS,344,-0.07875264270613111,348,-0.007053291536050178,0.5201149425287356,-245.45454545454618,-0.13775636796632376
10,99,0.08,ML,230,0.01705690187179547,233,-0.017613668877089234,0.5622317596566524,-410.39848483617914,-0.2840497372152688
10,99,0.08,ATS,225,-0.03272727272727278,228,-0.06220095693779906,0.49122807017543857,-1418.1818181818187,-0.981929315919302
